,popularity,price_tier,outdoors,good_for_groups,has_credit_card,good_for_kids,has_delivery,caters
592,1,2,1,1,1,1,1,1
593,0,2,0,0,0,0,0,0
594,1,1,1,1,1,1,1,1
595,1,2,1,1,0,1,1,0
596,2,2,1,1,0,1,1,1
597,0,2,1,0,0,0,0,0
598,1,2,1,1,1,1,1,1
599,0,2,0,0,1,0,1,0
600,2,1,1,1,1,1,1,1
601,1,1,1,1,1,1,1,1
602,0,1,1,1,1,1,1,1
603,1,1,1,1,1,1,1,1
604,0,1,1,0,1,0,1,1
605,2,2,1,1,1,1,1,1
606,0,1,1,1,0,1,1,1
607,1,1,1,1,1,1,1,1
608,0,2,1,1,0,1,1,1
609,0,1,1,1,1,1,1,0
610,2,2,1,1,1,1,1,1
611,0,2,1,1,1,1,1,1
612,1,1,1,1,1,1,1,1
613,0,1,1,1,1,1,1,1
614,2,2,1,1,1,1,1,1
615,2,2,1,1,1,1,1,1
616,1,1,1,1,1,1,1,1
617,2,2,1,1,1,1,1,1
618,0,1,1,1,1,1,1,1
619,0,2,1,1,1,1,1,1
620,1,1,1,1,1,1,1,1
621,2,2,1,1,1,1,1,1
622,0,1,1,1,1,1,1,0
623,0,1,1,1,0,1,1,1
624,0,1,1,1,1,1,1,1
625,1,2,0,0,1,0,1,1
626,2,2,1,1,1,1,1,1
627,0,2,1,1,1,1,1,1
628,0,1,1,1,1,1,1,1
629,1,1,1,1,1,1,1,1
630,1,2,1,1,0,1,1,0
631,2,1,0,0,1,0,1,1
632,2,1,1,1,1,1,1,1
633,0,1,1,1,1,1,1,1
634,0,1,1,1,1,1,1,1
635,1,2,1,1,1,1,1,1
636,2,2,1,1,1,1,1,1
637,2,2,1,1,1,1,1,1
638,2,2,1,1,1,1,1,1
639,1,2,0,0,1,0,0,1
640,0,1,1,1,1,1,1,1
641,1,2,1,1,1,1,1,1
642,0,2,1,0,1,0,0,0
643,2,2,1,1,0,1,1,0
644,2,2,1,1,1,1,1,0
645,1,1,1,0,1,0,1,1
646,1,2,1,0,0,0,0,1
647,1,1,1,1,1,1,1,1
648,1,2,1,1,1,1,1,1
649,0,1,1,1,1,1,1,1
650,1,2,1,0,1,0,0,1
651,2,2,1,1,1,1,1,1
652,2,1,1,1,1,1,1,1
653,1,3,1,1,1,1,1,1
654,2,2,0,0,1,0,0,1
655,2,2,1,1,1,1,1,1
656,0,1,1,1,1,1,1,1
657,2,2,1,0,1,0,1,1
658,2,2,1,1,1,1,1,1
659,1,2,1,1,1,1,1,1
660,2,2,1,1,1,1,1,1
661,1,2,0,0,0,0,1,1
662,2,3,1,1,1,1,1,1
663,2,2,1,1,1,1,1,1
664,1,1,1,1,1,1,1,1
665,1,2,1,1,1,1,1,1
666,1,2,1,1,1,1,1,1
667,1,2,1,1,1,1,1,1
668,0,2,1,1,1,1,1,0
669,1,2,1,1,0,1,1,1
670,1,2,1,1,1,1,1,1
671,1,1,1,1,1,1,1,0
672,2,1,1,1,1,1,1,1
673,1,1,1,1,0,1,1,1
674,2,2,0,0,1,0,1,1
675,1,2,1,1,1,1,1,1
676,1,1,1,1,1,1,1,1
677,0,2,0,0,1,0,1,0
678,0,1,1,0,1,1,0,0
679,1,1,1,1,1,1,1,1
680,2,2,1,1,1,1,1,1
681,2,4,1,1,1,1,1,1
682,0,1,1,1,1,1,1,1
683,1,1,1,1,1,1,1,1
684,1,2,1,1,1,1,1,1
685,2,2,1,1,1,1,1,1
686,1,1,1,1,1,1,1,1
687,1,1,1,1,1,1,1,1
688,0,1,1,1,0,1,1,1
689,2,1,1,1,1,1,1,1
690,1,1,1,1,1,1,1,1
691,2,1,1,1,1,1,1,1
692,1,1,1,0,1,0,1,1
693,0,2,0,0,1,0,1,0
694,1,2,0,0,1,0,0,1
695,2,2,1,1,1,1,1,1
696,0,1,1,1,1,1,1,1
697,2,2,1,1,1,1,1,1
698,2,2,1,1,1,1,1,1
699,1,2,1,1,0,1,1,1
700,1,2,1,1,1,1,1,1
701,1,2,1,1,1,1,1,0
702,2,2,1,1,1,1,1,1
703,1,2,1,1,1,1,1,1
704,1,1,1,1,1,1,1,1
705,2,2,0,0,1,0,1,0
706,0,1,1,1,1,1,1,1
707,2,2,1,1,1,1,1,1
708,0,1,1,1,0,1,1,1
709,0,1,0,0,1,0,1,0
710,0,2,1,0,0,0,0,0
711,2,1,1,1,1,1,1,1
712,0,2,1,1,1,1,1,1
713,2,1,1,1,1,1,1,1
714,0,2,1,1,0,1,1,1
715,2,2,1,1,1,1,1,1
716,2,2,1,1,1,1,1,1
717,0,2,0,0,0,0,1,1
718,2,2,1,1,1,1,1,1
719,0,1,1,1,1,1,1,1
720,1,2,1,1,1,1,1,1
721,1,2,1,1,1,1,1,1
722,0,2,1,1,0,1,1,1
